ground_truth,prediction
C,B
B,B
A,F
E,B
E,A
D,B
E,F
F,C
B,E
F,F
B,F
E,B
E,D
A,F
E,D
B,D
A,F
B,A
E,B
B,E
F,D
F,F
C,F
F,B
E,E
B,A
E,E
B,A
E,B
A,A
F,A
E,A
A,B
D,D
C,B
C,E
E,A
A,B
E,A
B,A
A,A
B,F
E,E
D,F
C,D
D,B
A,F
B,A
E,B
A,B
F,A
C,B
A,F
B,F
B,B
D,B
B,B
B,B
A,D
D,F
B,B
B,C
D,A
B,F
B,C
E,F
B,A
F,E
C,A
F,A
A,F
C,B
B,F
A,E
B,B
B,B
A,F
B,D
E,A
C,A
B,B
C,A
A,F
A,D
E,D
B,F
C,F
E,A
B,D
B,A
E,A
B,B
D,C
B,F
B,A
E,D
C,F
E,E
E,B
D,B
B,F
B,A
B,F
A,E
D,A
A,A
F,A
F,D
E,A
B,A
C,C
B,B
A,C
B,B
C,E
B,F
D,A
B,D
A,D
D,E
A,D
A,B
D,D
B,F
D,A
F,A
E,B
B,A
E,F
E,B
E,F
C,B
A,F
D,B
E,E
C,B
B,E
C,B
C,C
E,F
A,B
A,B
B,A
E,A
A,F
C,B
B,A
B,B
B,A
D,D
E,F
B,B
B,B
E,B
C,B
B,C
B,B
E,B
C,B
C,D
D,F
C,F
A,B
B,F
B,F
A,A
D,B
B,F
C,F
A,F
A,F
C,F
B,F
B,C
E,A
A,D
C,D
C,A
A,B
C,F
F,A
A,B
F,B
A,B
A,B
E,D
C,A
A,F
B,C
E,B
C,F
E,B
E,B
D,C
B,E
A,D
D,A
C,D
A,F
B,F
